name,description,price
Cotton Bed Sheets,High-quality cotton bed sheets with a thread count of 600,39.99
Stainless Steel Cookware Set,Durable and stylish 10-piece cookware set with non-stick coating,89.99
Fluffy Throw Pillows,Soft and comfortable throw pillows with decorative covers,14.99
Modern Table Lamp,Sleek and modern table lamp with adjustable brightness,49.99
Glassware Set,Elegant 16-piece glassware set for special occasions,29.99
Bamboo Cutting Board,Natural bamboo cutting board with built-in compartments,19.99
Decorative Wall Clock,Unique and stylish wall clock with silent quartz movement,24.99
Cozy Blanket,Warm and cozy fleece blanket for chilly nights,44.99
Essential Oil Diffuser,Aromatherapy diffuser with 7 LED color options and auto-shutoff,34.99
Ceramic Plant Pots,Set of decorative ceramic plant pots for indoor plants,22.99
Rustic Dinnerware Set,12-piece rustic dinnerware set for a charming dining experience,54.99
Memory Foam Mattress Topper,2-inch memory foam mattress topper for added comfort,59.99
Stainless Steel Flatware Set,20-piece stainless steel flatware set with modern design,39.99
Faux Leather Ottoman,Stylish faux leather ottoman with storage space,69.99
Tea Infuser Set,Tea infuser set with a variety of charming shapes,12.99
Digital Kitchen Scale,Precision digital kitchen scale for accurate cooking measurements,14.99
Wall Mounted Shelves,Set of three wall-mounted wooden shelves for storage and display,32.99
Coffee Maker with Grinder,Programmable coffee maker with built-in grinder,79.99
Scented Soy Candles,Set of scented soy candles in relaxing fragrances,19.99
Glass Food Storage Containers,Set of 10 glass food storage containers with snap-lock lids,34.99
Luxury Bath Towel Set,Luxurious 6-piece bath towel set with high absorbency,49.99
Electric Kettle,Stainless steel electric kettle with rapid boil technology,29.99
Indoor String Lights,Decorative indoor string lights with remote control,18.99
Portable Blender,USB-rechargeable portable blender for on-the-go smoothies,27.99
Smart Thermostat,Smart thermostat for efficient home temperature control,89.99
Aromatherapy Essential Oils Kit,Set of 12 essential oils for relaxation and well-being,28.99
Portable Laptop Stand,Adjustable and foldable laptop stand for ergonomic use,22.99
Elegant Wine Glasses,Set of 4 elegant wine glasses with crystal-clear design,45.99
Digital Air Fryer,Healthier cooking with a digital air fryer and multiple presets,89.99
Yoga Mat with Carry Bag,High-density yoga mat with non-slip surface and carry bag,19.99
Bluetooth Wireless Earbuds,True wireless earbuds with noise cancellation and touch controls,69.99
Smart LED Light Bulbs,Set of smart LED light bulbs with adjustable color temperature,32.99
Folding Camping Chair,Portable and lightweight folding camping chair with cup holder,24.99
Ultra-Soft Microfiber Towels,Set of 8 ultra-soft and quick-drying microfiber towels,18.99
Laptop Backpack with USB Port,Stylish laptop backpack with built-in USB charging port,29.99
